Show/Hide,Cpd,File,ID Source,Name,Formula,Saturated,RT,m/z,Mass,Score,Score (Lib),Score (DB),Score (MFG),RT Diff (Tgt),"Diff (Tgt, ppm)","Diff (DB, ppm)","Diff (MFG, ppm)",Polarity,Ions,Height,Area,Vol,Hits (DB),Algorithm,Library,Uncertainty,Significance,Quality Score,FIs Conf.,FIs Conf. %,FIs Eval.,Source,Flag Severity (Tgt)
TRUE,4162,SLZ_200313_09.d,,,,,62.989,415.7407,416.748,,,,,,,,,Negative,2,11250,,285125,,Find by Molecular Feature,,,,37.5,,,,,
TRUE,27,SLZ_200313_09.d,,,,,0.599,416.7908,417.7981,,,,,,,,,Negative,4,7016,,57986,,Find by Molecular Feature,,,,35,,,,,
TRUE,533,SLZ_200313_09.d,,,,,0.987,417.3703,418.3776,,,,,,,,,Negative,3,108305,,698640,,Find by Molecular Feature,,,,68,,,,,
TRUE,491,SLZ_200313_09.d,,,,,0.981,417.7037,418.7109,,,,,,,,,Negative,2,46685,,285317,,Find by Molecular Feature,,,,42.2,,,,,
TRUE,955,SLZ_200313_09.d,,,,,1.13,417.8543,418.8616,,,,,,,,,Negative,3,2746,,36118,,Find by Molecular Feature,,,,66.1,,,,,
TRUE,149,SLZ_200313_09.d,,,,,0.74,418.8523,419.8596,,,,,,,,,Negative,6,11359,,278722,,Find by Molecular Feature,,,,74.5,,,,,
TRUE,185,SLZ_200313_09.d,,,,,0.786,418.9128,419.9201,,,,,,,,,Negative,2,17348,,190108,,Find by Molecular Feature,,,,72,,,,,
TRUE,998,SLZ_200313_09.d,,,,,1.23,418.9138,419.9211,,,,,,,,,Negative,3,31980,,948583,,Find by Molecular Feature,,,,86,,,,,
TRUE,3795,SLZ_200313_09.d,,,,,62.244,418.9756,419.9828,,,,,,,,,Negative,3,79723,,1496486,,Find by Molecular Feature,,,,69,,,,,
TRUE,4117,SLZ_200313_09.d,,,,,62.903,418.9757,419.9829,,,,,,,,,Negative,3,85848,,2099074,,Find by Molecular Feature,,,,99.9,,,,,
TRUE,63,SLZ_200313_09.d,,,,,0.68,418.9973,420.0046,,,,,,,,,Negative,2,19866,,79372,,Find by Molecular Feature,,,,34.6,,,,,
TRUE,524,SLZ_200313_09.d,,,,,0.986,420.6998,421.707,,,,,,,,,Negative,4,209434,,1165435,,Find by Molecular Feature,,,,57.2,,,,,
TRUE,69,SLZ_200313_09.d,,,,,0.684,420.9233,421.9305,,,,,,,,,Negative,4,4916,,76378,,Find by Molecular Feature,,,,52.4,,,,,
TRUE,510,SLZ_200313_09.d,,,,,0.984,421.0332,422.0405,,,,,,,,,Negative,4,112306,,1054293,,Find by Molecular Feature,,,,70.2,,,,,
TRUE,595,SLZ_200313_09.d,,,,,0.993,421.3673,422.3746,,,,,,,,,Negative,3,39810,,249500,,Find by Molecular Feature,,,,50.2,,,,,
TRUE,3983,SLZ_200313_09.d,,,,,62.613,421.7474,422.7547,,,,,,,,,Negative,3,4711,,97316,,Find by Molecular Feature,,,,44.4,,,,,
